Timestamp,Balance,GBPUSD,GBPUSD_PositionType,GBPUSD_Units,Total,Returns,Equity,Drawdown
2018-07-03 00:00:01.833000,100000.0,0.0, 0.00,0.0,100000.0,,,
2018-07-03 00:00:03.257000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:04.801000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:06.206000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:07.799000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:09.295000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:10.671000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:12.190000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:13.511000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:14.748000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:16.220000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:17.674000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:19.045000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:20.501000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:21.958000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:23.419000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:24.774000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:26.289000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:27.514000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:28.766000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:30.074000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:31.501000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:32.909000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:34.322000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:35.712000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:37.017000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:38.194000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:39.586000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:41.119000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:42.621000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:44.240000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:45.729000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:47.061000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:48.637000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:49.925000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:51.299000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:52.536000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:53.923000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:55.327000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:56.791000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:58.181000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:00:59.515000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:01.083000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:02.415000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:03.636000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:05.023000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:06.306000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:07.595000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:09.074000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:10.562000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:11.897000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:13.382000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:14.806000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:16.230000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:17.706000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:19.176000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:20.532000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:21.901000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:23.249000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:24.562000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:26.120000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:27.314000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:28.775000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:30.395000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:31.971000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:33.358000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:34.864000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:36.303000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:37.718000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:39.057000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:40.600000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:41.988000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:43.342000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:44.589000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:45.900000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:47.313000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:48.810000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:50.182000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:51.545000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:52.866000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:54.211000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:55.622000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:57.053000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:58.574000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:01:59.922000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:02:01.151000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:02:02.541000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:02:03.899000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:02:05.433000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:02:06.845000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
2018-07-03 00:02:08.375000,100000.0,0.0, 0.00,0.0,100000.0,0.0,1.0,0.0
